eps,convert_ratio,oversample,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,1.0,1.0,0.10262866369248706,0.1590909090909091,0.026657429824059397,3.5745317265021868,0.17272727272727267,0.5559539008204707,0.1837573167168513
0.5,1.0,1.1,0.10262427212485889,0.12727272727272726,0.02097967974042974,3.524380716532872,0.3181818181818182,0.5608897370027119,0.18362289579705832
0.5,1.0,1.2,0.09946816456110445,0.08181818181818182,0.020820316183335612,3.524422591407377,0.34545454545454535,0.5738539021960802,0.18601074039514934
0.5,1.0,1.3,0.09874338125547727,0.11363636363636362,0.014311635576113032,3.3021315821092054,0.3818181818181818,0.566535059682596,0.17576869960877306
1.0,1.0,1.0,0.13326281294026304,0.6818181818181819,0.00870390612807141,1.880606904753924,0.21818181818181817,0.17280957223044469,0.09618008834580632
1.0,1.0,1.1,0.1301803525934037,0.6090909090909091,0.010144942369645481,1.8394489387630675,0.2545454545454545,0.17828639624393028,0.12039810273814808
1.0,1.0,1.2,0.12925391371417025,0.6227272727272728,0.008415517874096431,1.7824969799536903,0.35454545454545455,0.17421240209205985,0.06831430034638553
1.0,1.0,1.3,0.1118911770689062,0.5727272727272726,0.011752414562744522,2.1766463729402243,0.3636363636363636,0.21986381404518512,0.09811756462829833
1.5,1.0,1.0,0.1689245980436008,0.8,0.0036012393714506567,1.291391817185668,0.3272727272727272,0.189096711451333,0.10684363591733112
1.5,1.0,1.1,0.1768149342192294,0.7727272727272727,0.0029676054858459168,1.3265746503382194,0.2818181818181818,0.15069989081960203,0.1753284256124108
1.5,1.0,1.2,0.16475706864759804,0.8,0.0023461946956479067,1.3221637124166312,0.2909090909090909,0.12061589993532887,0.09662511375315498
1.5,1.0,1.3,0.16661771864521385,0.6909090909090909,0.0036791140677540244,1.3767253658190288,0.3454545454545454,0.11021419792640028,0.0931358430983388
2.0,1.0,1.0,0.18218243260468187,0.8090909090909092,0.0019695378549420507,1.1956751705421247,0.32727272727272727,0.14921527755196204,0.09884865381544772
2.0,1.0,1.1,0.1923890943101047,0.8318181818181818,0.0022474344897842153,1.224753801941408,0.32727272727272727,0.0967465518026732,0.1182551891599456
2.0,1.0,1.2,0.2014678326431401,0.8318181818181818,0.003055555958360697,1.1613172768800655,0.3363636363636363,0.16723504725264257,0.15025565924906606
2.0,1.0,1.3,0.1897483068284077,0.8409090909090908,0.0012284098064952902,1.1515381556168962,0.3545454545454545,0.11499341015469833,0.09374594824898128
2.5,1.0,1.0,0.21149065880961498,0.8636363636363636,0.0024694347915383825,1.0890913409826608,0.309090909090909,0.10265831008762212,0.10201018956536774
2.5,1.0,1.1,0.20978222482762976,0.8863636363636364,0.0015777009742055231,1.0570490212524544,0.29999999999999993,0.08363375292418382,0.10261812391003271
2.5,1.0,1.2,0.2154979244922682,0.8545454545454545,0.0016190004390614417,1.1277680569820792,0.309090909090909,0.10899395503649023,0.12472461353973112
2.5,1.0,1.3,0.20005019824180859,0.8818181818181818,0.0019493537401542936,1.0962545322617252,0.3636363636363636,0.06039456928353064,0.12142062054744737
3.0,1.0,1.0,0.22000419892960207,0.9,0.0016487453476163848,1.0525231215601722,0.3454545454545454,0.08481185357960772,0.10075692627593631
3.0,1.0,1.1,0.25078110138395654,0.8681818181818184,0.0015949326517211658,1.0399846561740471,0.32727272727272727,0.08585702287095084,0.0920833949335749
3.0,1.0,1.2,0.22953942114494347,0.85,0.001753965848109969,1.0507117119704659,0.3090909090909091,0.08461779655848646,0.13815186601214266
3.0,1.0,1.3,0.22995156131918665,0.8681818181818182,0.0015001155510904344,1.1445615426472324,0.38181818181818183,0.09490522747199603,0.10822564681685343
3.5,1.0,1.0,0.2361101919365332,0.859090909090909,0.002759983738527382,1.0410687410912034,0.36363636363636365,0.0715551615258844,0.1287542747397156
3.5,1.0,1.1,0.2302428004852787,0.8909090909090909,0.0025784145556960155,1.0141149305992267,0.2909090909090909,0.06446149043121192,0.13906606752313883
3.5,1.0,1.2,0.2415595976213362,0.8727272727272728,0.0020910273726213067,1.0880612505006328,0.29090909090909084,0.0744952058739446,0.12952222201799993
3.5,1.0,1.3,0.2415605766627686,0.9,0.0024861299630115257,1.0801706566981255,0.3454545454545454,0.07017405974672715,0.15064178958022417
