dataset,oversample,avg_nmi,avg_evc_overlap,avg_evc_MAE,avg_deg_kl,avg_diam_rel,avg_cc_rel,avg_mod_rel
Facebook,0.8,0.23796724514645184,0.6114285714285714,0.005606774212885061,0.6869941840378757,0.1321428571428571,0.4775440655507233,0.23850457191336932
Facebook,0.9,0.22996992132904145,0.5907142857142856,0.006186401550941042,0.6738741041607692,0.13928571428571423,0.48895992663006776,0.26511462943422465
Facebook,1.0,0.2288632471583718,0.6042857142857142,0.005963217204883032,0.6318043242157246,0.12321428571428569,0.4734848524676178,0.24902642862617608
Facebook,1.1,0.2235530689686201,0.6003571428571429,0.00594083361768352,0.6137220007103699,0.15178571428571425,0.4746761827605133,0.24876027377609516
Facebook,1.2,0.22745983617748555,0.6325000000000001,0.006040600388740651,0.600461934739586,0.16071428571428567,0.4671811339849432,0.24446579979155067
mytest,0.8,0.26354936738233825,0.6757142857142858,0.0061493357749872616,2.358107343749674,0.29206349206349197,0.24572307102562554,0.1754447866704482
mytest,0.9,0.23917857013046737,0.6428571428571429,0.005868456758981263,2.315891854060189,0.2968253968253967,0.2816818754307001,0.24193715568220667
mytest,1.0,0.253409610654536,0.6500000000000001,0.005419726400377425,2.1796209374130746,0.3047619047619047,0.23866809447886544,0.16604240298619516
mytest,1.1,0.24242652828321928,0.6757142857142856,0.005244794449376138,2.1718663495124804,0.31746031746031733,0.2353257763915697,0.16651582181223176
mytest,1.2,0.24489217440589098,0.6528571428571429,0.004814002076246548,2.170651096619904,0.3158730158730158,0.2325159241981758,0.16832196917689843
